#Spectrum of SDSS J141324.27+530526.9
#downloaded from http://skyserver.sdss.org/dr16/en/tools/quicklook/summary.aspx?ra=14%2013%2024&dec=53%2005%2027
#z = 0.4563313
#Wavelength,Flux,BestFit,SkyFlux
3754.050,32.075,27.583,17.763
3754.914,29.849,27.571,19.468
3755.780,27.284,27.485,20.474
3756.644,31.363,27.337,19.644
3757.508,30.595,27.494,17.159
3758.374,27.939,27.555,14.179
3759.239,27.880,27.534,13.406
3760.106,30.473,27.458,13.820
3760.971,32.491,27.367,14.883
3761.838,29.544,27.344,15.590
3762.704,30.013,27.432,15.439
3763.569,28.862,27.420,14.855
3764.437,29.004,27.181,15.235
3765.303,33.268,27.338,15.388
3766.171,30.173,27.487,15.974
3767.038,29.424,27.212,15.087
3767.906,29.037,27.373,14.015
3768.773,28.595,27.633,13.864
3769.640,27.788,27.324,14.872
3770.510,27.707,27.150,15.501
3771.377,30.866,27.255,15.194
3772.247,29.281,27.298,16.643
3773.114,32.112,27.324,17.849
3773.984,31.559,27.419,18.572
3774.853,28.148,27.424,18.745
3775.721,28.791,27.450,18.361
3776.592,30.178,27.385,18.244
3777.461,28.798,27.133,18.302
3778.332,31.254,27.031,18.135
3779.201,31.957,27.330,18.500
3780.072,29.673,27.559,18.600
3780.942,28.677,27.485,18.861
3781.812,29.339,27.310,19.324
3782.684,27.968,27.243,19.213
3783.554,27.313,27.176,19.067
3784.426,30.479,27.258,19.318
3785.297,31.134,26.955,19.377
3786.170,25.928,26.885,18.289
3787.041,27.168,27.091,16.353
3787.912,26.979,27.184,14.917
3788.786,28.729,27.181,14.411
3789.657,29.655,27.075,14.406
3790.531,30.802,27.317,15.053
3791.403,32.407,27.312,16.058
3792.277,27.629,26.968,16.918
3793.150,28.809,26.830,16.965
3794.022,31.153,27.167,15.951
3794.897,31.498,27.033,14.822
3795.770,30.429,27.116,14.350
3796.646,29.139,27.207,14.258
3797.519,27.822,27.215,13.648
3798.395,31.370,27.303,12.436
3799.269,29.430,27.390,11.947
3800.143,28.390,27.114,12.826
3801.019,29.982,27.161,14.333
3801.893,30.083,27.188,15.554
3802.770,29.860,27.084,16.188
3803.645,27.494,27.078,17.112
3804.522,28.855,27.186,17.409
