#Spectrum of SDSS J141324.27+530526.9
#downloaded from http://skyserver.sdss.org/dr16/en/tools/quicklook/summary.aspx?ra=14%2013%2024&dec=53%2005%2027
#z = 0.4563313
#Wavelength,Flux,BestFit,SkyFlux
4311.217,23.059,23.433,10.158
4312.212,22.002,23.516,10.619
4313.204,23.183,23.420,11.462
4314.198,23.096,23.284,12.904
4315.191,22.448,23.496,14.228
4316.183,22.690,23.366,15.323
4317.179,22.308,23.323,16.006
4318.172,22.840,23.461,16.571
4319.168,22.734,23.475,16.643
4320.161,23.698,23.404,16.496
4321.157,23.788,23.402,16.254
4322.152,22.185,23.291,16.024
4323.146,22.309,23.296,14.802
4324.143,23.183,23.301,12.838
4325.137,22.894,23.170,11.592
4326.135,21.522,23.266,11.176
4327.130,21.307,23.250,11.723
4328.128,22.875,23.322,13.174
4329.124,23.546,23.225,14.489
4330.119,22.569,23.128,15.035
4331.118,21.505,23.284,14.914
4332.114,22.410,23.288,14.964
4333.113,23.033,23.084,14.811
4334.110,22.352,23.036,14.934
4335.110,23.147,22.984,14.959
4336.107,22.735,22.962,15.018
4337.107,23.205,23.096,14.471
4338.105,22.633,23.176,13.310
4339.103,22.487,23.207,12.014
4340.103,23.096,23.219,11.169
4341.102,21.352,23.100,10.858
4342.103,21.281,23.026,11.256
4343.101,22.075,23.109,12.308
4344.103,22.732,22.969,13.241
4345.102,21.921,22.815,13.686
4346.102,20.810,22.918,14.362
4347.104,22.380,22.981,14.914
4348.104,22.294,22.900,15.331
4349.107,21.593,22.806,15.407
4350.107,20.577,22.742,15.856
4351.110,21.343,22.771,15.066
4352.111,22.966,22.657,13.442
4353.113,21.307,22.627,12.958
4354.116,22.392,22.636,13.280
4355.118,21.743,22.575,14.060
4356.122,22.128,22.698,14.625
4357.125,22.329,22.611,17.725
4358.129,21.762,22.368,26.599
4359.132,23.542,22.486,33.989
4360.135,21.893,22.666,32.550
4361.140,21.181,22.436,24.575
4362.143,22.299,22.313,17.871
4363.149,21.951,22.412,16.703
4364.153,20.414,22.374,15.851
4365.159,22.609,22.227,15.734
4366.164,22.097,22.209,15.999
4367.168,21.805,22.345,15.583
4368.175,21.915,22.268,15.157
4369.180,22.276,22.122,14.923
4370.187,22.108,22.227,14.819
4371.193,20.631,22.149,14.596
4372.201,21.955,21.975,14.535
4373.207,22.900,22.079,14.557
4374.213,22.801,22.222,14.448
4375.221,21.878,22.136,14.263
4376.228,21.108,22.030,14.150
4377.237,21.925,22.006,14.412
4378.244,22.892,22.037,14.875
4379.254,21.348,22.026,15.249
4380.261,21.339,21.914,14.950
4381.269,22.333,21.899,14.818
4382.279,22.289,21.991,14.379
4383.287,22.274,21.898,12.711
4384.298,21.332,21.763,10.891
4385.307,21.294,21.797,10.686
4386.318,21.270,21.701,11.874
4387.327,21.071,21.732,13.464
4388.336,20.813,21.808,13.932
4389.348,20.447,21.872,13.696
4390.358,22.000,21.773,13.451
4391.370,20.266,21.595,13.506
4392.381,20.231,21.747,13.650
4393.393,21.273,21.444,14.123
4394.404,20.837,21.515,14.277
4395.415,21.138,21.738,13.822
4396.429,21.844,21.745,14.006
4397.440,20.043,21.615,14.349
4398.454,19.798,21.687,14.931
4399.466,20.710,21.518,15.019
4400.480,20.723,21.542,14.554
4401.493,21.155,21.543,14.091
4402.505,21.810,21.385,14.588
4403.520,20.733,21.239,14.776
4404.534,20.287,21.300,14.023
4405.549,20.307,21.481,13.299
4406.563,20.347,21.641,13.573
4407.579,21.795,21.511,14.348
4408.593,21.202,21.335,14.921
4409.607,20.646,21.400,15.045
4410.624,20.715,21.347,15.353
4411.638,20.225,21.233,15.964
4412.656,19.806,21.316,16.533
4413.671,21.839,21.397,16.561
4414.689,21.045,21.375,15.998
4415.704,19.894,21.324,15.031
4416.723,20.553,21.297,14.475
4417.739,21.443,21.406,15.136
4418.755,20.922,21.313,15.475
4419.774,20.648,21.217,16.186
4420.791,21.487,21.155,16.857
4421.810,20.973,21.079,16.527
4422.827,20.535,21.208,15.768
4423.847,20.679,21.351,15.104
4424.865,20.588,21.339,15.273
4425.883,20.110,21.292,15.525
4426.903,20.783,21.336,15.608
4427.922,19.626,21.398,15.665
4428.943,20.308,21.273,15.621
4429.962,20.418,21.295,15.473
4430.983,19.049,21.249,15.354
4432.003,22.061,21.260,15.130
4433.022,21.104,21.412,15.272
4434.044,22.016,21.492,15.306
4435.064,22.579,21.241,14.171
4436.087,21.922,21.389,13.660
4437.108,21.322,21.470,14.182
4438.131,21.222,21.302,15.329
4439.152,22.015,21.176,15.993
4440.173,21.664,21.319,16.153
4441.197,21.197,21.411,15.873
4442.219,21.354,21.378,14.950
4443.243,21.153,21.311,14.113
4444.265,19.770,21.215,14.326
4445.290,21.548,21.075,14.992
4446.313,21.302,21.003,15.612
4447.336,20.582,21.197,15.742
4448.361,20.696,21.303,15.495
4449.384,21.330,21.311,15.369
4450.410,22.118,21.236,15.205
4451.434,22.313,21.207,15.311
4452.461,21.378,21.285,15.223
4453.485,20.414,21.266,15.039
4454.510,20.357,21.258,14.244
4455.537,21.125,21.221,13.596
4456.562,21.420,21.205,13.175
4457.589,19.916,21.258,13.397
4458.615,20.713,21.305,13.749
4459.643,21.006,21.187,13.718
4460.669,20.617,21.131,13.615
4461.695,20.745,21.036,13.740
4462.724,20.409,21.134,13.681
4463.751,21.605,21.268,13.926
4464.780,21.289,21.184,14.529
4465.807,21.204,21.185,14.719
4466.837,20.827,21.301,14.879
4467.864,19.830,21.295,14.844
4468.892,20.880,21.292,14.644
4469.923,20.607,21.277,14.211
4470.951,21.157,21.187,14.039
4471.982,21.404,21.212,14.251
4473.011,20.946,21.257,14.821
4474.042,20.479,21.211,15.305
4475.072,20.317,21.203,15.499
4476.101,20.356,21.201,15.575
4477.133,19.719,21.184,15.567
4478.163,20.144,21.347,15.475
4479.196,20.931,21.216,15.631
4480.226,21.028,21.151,15.030
4481.259,21.606,21.220,14.222
4482.290,20.624,21.254,13.477
4483.322,21.533,21.182,13.771
4484.355,22.083,21.197,14.532
4485.387,21.573,21.165,15.493
4486.421,20.935,21.031,15.770
4487.453,20.300,21.062,15.869
4488.488,21.065,21.154,15.416
4489.521,20.834,21.042,14.747
4490.554,20.555,20.918,14.366
4491.589,20.482,21.047,14.404
4492.622,20.330,20.991,14.972
4493.658,20.859,20.944,15.337
4494.692,21.803,20.996,15.037
4495.729,21.644,21.016,14.637
4496.763,20.334,20.974,14.665
4497.800,19.574,20.859,14.899
4498.834,20.247,20.865,15.130
4499.869,20.622,21.050,15.390
4500.907,20.598,21.227,15.467
4501.943,20.887,21.147,15.094
4502.981,20.785,20.851,14.970
4504.017,20.319,20.818,15.373
4505.055,19.887,20.983,15.793
4506.092,19.367,20.974,16.067
4507.128,19.597,20.842,15.932
4508.168,19.937,20.895,15.578
4509.205,20.162,21.077,15.664
4510.244,19.991,21.039,15.623
4511.282,19.712,20.942,15.732
4512.322,20.352,20.815,15.769
4513.360,20.654,20.784,15.518
4514.399,20.598,20.969,15.175
4515.440,20.070,21.161,15.072
4516.478,20.251,21.045,15.057
4517.520,21.086,21.133,14.863
4518.559,20.296,21.146,14.717
4519.601,21.779,21.061,14.925
4520.641,21.165,21.068,15.185
4521.681,21.043,20.972,15.279
4522.724,21.271,20.878,15.234
4523.764,20.529,21.034,15.178
4524.807,21.091,21.106,14.855
4525.848,21.441,21.066,14.550
4526.892,20.932,21.108,14.097
4527.933,20.717,21.111,14.001
4528.975,21.164,21.121,13.505
4530.019,21.428,21.247,13.557
4531.061,20.881,21.232,13.639
4532.106,21.499,21.188,14.132
4533.149,20.928,21.270,14.525
4534.194,20.441,21.160,14.429
4535.237,20.668,21.287,13.842
4536.280,20.958,21.254,13.577
4537.327,21.133,21.260,14.221
4538.370,21.786,21.440,15.489
4539.417,20.908,21.551,15.594
4540.461,20.725,21.308,15.161
4541.508,21.362,21.372,14.788
4542.553,21.547,21.432,14.772
4543.598,21.750,21.540,15.193
4544.646,21.136,21.515,15.246
4545.691,20.915,21.263,14.887
4546.739,21.632,21.301,14.581
4547.785,22.393,21.318,14.566
4548.834,22.010,21.393,14.437
4549.881,20.938,21.366,14.027
4550.927,21.784,21.220,13.756
4551.977,22.323,21.177,14.046
4553.024,21.898,21.367,14.397
4554.074,21.230,21.237,14.315
4555.121,21.624,21.510,14.240
4556.172,23.288,21.474,13.834
4557.220,22.099,21.257,13.846
4558.268,21.496,21.411,14.334
4559.319,22.045,21.360,15.017
4560.368,22.954,21.386,14.902
4561.420,23.066,21.404,14.738
4562.469,21.823,21.431,14.876
4563.521,22.518,21.490,14.606
4564.571,21.381,21.506,14.235
4565.621,21.367,21.388,13.566
4566.674,22.374,21.460,13.574
4567.725,22.504,21.470,13.905
4568.778,23.173,21.261,14.280
4569.829,22.181,21.116,14.440
4570.883,23.043,21.217,14.415
4571.934,22.395,21.117,14.015
4572.989,21.415,21.060,13.702
4574.041,22.178,21.059,14.027
4575.093,20.972,21.030,14.558
4576.148,23.177,20.999,14.443
4577.201,21.624,21.008,14.399
4578.256,20.815,20.990,14.454
4579.309,21.950,21.106,14.297
4580.365,22.144,21.123,14.102
4581.419,21.754,21.082,13.777
4582.473,21.461,21.035,13.442
4583.530,20.942,21.012,13.526
4584.584,21.264,21.084,13.490
4585.641,21.994,21.079,13.344
4586.696,21.648,20.983,13.270
4587.754,20.486,20.950,13.483
4588.809,21.671,21.004,13.768
4589.865,21.291,21.039,14.242
4590.923,20.619,21.025,14.305
4591.980,21.168,21.152,13.624
4593.038,21.935,21.187,13.170
4594.095,20.785,21.067,13.347
4595.154,20.206,21.024,13.639
4596.212,20.300,21.141,13.222
4597.269,20.681,21.028,13.061
4598.329,20.844,20.998,13.244
4599.387,20.724,21.166,13.525
4600.447,20.942,21.130,13.271
4601.506,20.819,20.942,13.047
4602.567,20.443,20.901,13.070
4603.626,20.903,20.868,13.082
4604.685,21.466,20.853,13.235
4605.747,20.870,20.975,13.472
4606.806,20.092,21.104,13.154
4607.868,20.236,21.107,13.335
4608.928,21.300,21.033,13.653
4609.991,21.355,21.058,13.906
4611.052,20.548,20.949,13.975
4612.113,20.549,21.030,13.793
4613.176,21.278,21.044,13.368
4614.237,20.201,21.000,13.351
4615.301,20.346,21.107,13.320
4616.363,20.691,21.208,13.416
4617.428,20.244,21.161,13.520
4618.490,20.238,21.055,13.358
4619.552,22.080,21.092,13.182
4620.618,20.829,21.233,13.272
4621.681,21.064,21.256,13.403
4622.746,21.324,21.092,13.438
4623.810,20.893,21.004,13.605
4624.876,21.083,20.974,13.559
4625.940,21.739,21.066,13.329
4627.004,21.180,21.270,13.345
4628.071,22.139,21.371,13.497
4629.136,21.552,21.145,13.510
4630.203,20.557,21.200,13.416
4631.268,21.208,21.343,13.345
4632.336,19.644,21.242,13.499
4633.402,21.595,21.119,13.469
4634.468,21.081,21.215,13.135
4635.537,20.773,21.126,13.037
4636.603,21.337,21.293,13.016
4637.672,21.049,21.449,12.828
4638.739,21.566,21.410,12.894
4639.809,21.617,21.251,12.538
4640.876,21.546,21.225,12.755
4641.944,21.070,21.452,12.960
4643.014,20.960,21.406,13.201
4644.082,21.471,21.358,13.148
4645.153,20.711,21.417,12.930
4646.222,21.343,21.424,12.635
4647.293,20.909,21.310,12.157
4648.362,21.392,21.324,11.755
4649.432,21.804,21.165,11.935
4650.504,20.583,21.229,12.533
4651.574,21.247,21.289,12.664
4652.646,20.612,21.290,12.978
4653.717,20.805,21.353,12.921
4654.790,20.589,21.334,12.844
4655.861,20.635,21.295,12.442
4656.934,21.762,21.269,12.334
4658.006,21.014,21.303,12.833
4659.077,21.794,21.328,13.333
4660.152,20.737,21.284,13.871
4661.224,20.816,21.286,13.912
4662.299,21.710,21.235,13.737
4663.371,21.122,21.258,13.512
4664.446,21.638,21.276,13.179
4665.520,21.875,21.268,12.951
4666.593,21.707,21.230,12.663
4667.669,20.977,21.061,12.069
4668.743,20.544,21.023,11.697
4669.819,20.896,21.074,11.947
4670.894,20.550,21.036,12.828
4671.971,20.959,20.997,13.271
4673.046,20.794,21.089,13.128
4674.121,20.490,21.096,13.202
4675.198,20.187,20.930,13.006
4676.274,20.012,21.083,13.344
4677.352,20.985,21.094,13.580
4678.428,20.426,20.874,13.171
4679.507,20.465,20.768,12.623
4680.584,20.327,20.801,12.303
4681.660,20.272,20.914,12.340
4682.740,21.043,20.897,12.456
4683.817,20.964,20.979,12.567
4684.897,21.168,21.023,12.781
4685.975,21.270,20.802,12.933
4687.056,20.455,20.692,12.893
4688.134,19.978,20.775,12.767
4689.212,20.831,20.821,12.608
4690.294,20.535,20.854,12.548
4691.373,20.563,20.868,12.488
4692.454,20.452,20.828,12.477
4693.534,20.529,20.826,12.338
4694.616,20.654,20.882,12.590
4695.696,20.353,20.911,12.739
4696.777,20.084,20.820,12.793
4697.860,20.485,20.706,12.722
4698.940,20.102,20.704,12.165
4700.024,19.768,20.717,11.823
4701.105,20.143,20.699,11.794
4702.189,20.557,20.681,11.656
4703.271,19.947,20.602,11.549
4704.353,19.501,20.580,11.596
4705.438,20.444,20.703,11.840
4706.520,20.785,20.692,12.190
4707.606,20.589,20.569,12.126
4708.689,20.953,20.522,11.871
4709.774,20.196,20.602,11.823
4710.858,20.310,20.624,12.198
4711.942,19.852,20.545,12.338
4713.028,19.837,20.724,12.376
4714.112,20.481,20.742,12.205
4715.199,20.380,20.688,11.947
4716.284,19.160,20.575,11.946
4717.372,20.443,20.472,12.059
4718.457,20.688,20.510,12.449
4719.542,20.560,20.674,12.781
4720.631,20.864,20.640,12.838
4721.717,20.811,20.483,12.694
4722.805,19.986,20.473,12.476
4723.892,19.829,20.482,12.490
4724.981,19.922,20.332,12.820
4726.068,20.026,20.363,12.862
4727.155,19.865,20.538,12.494
4728.246,19.761,20.562,12.297
4729.333,20.872,20.380,12.255
4730.424,20.420,20.321,12.379
4731.512,19.345,20.537,12.143
4732.603,19.759,20.478,11.911
4733.692,20.727,20.290,12.113
4734.781,20.247,20.470,12.508
4735.873,20.057,20.495,12.467
4736.962,20.678,20.281,12.267
4738.054,20.357,20.244,12.220
4739.144,20.451,20.389,12.460
4740.237,21.010,20.373,12.826
4741.328,20.505,20.521,12.841
4742.421,19.554,20.505,12.700
4743.512,20.906,20.381,12.829
4744.603,20.628,20.428,13.105
4745.697,20.176,20.402,12.900
4746.789,20.461,20.388,12.617
4747.884,20.303,20.402,12.378
4748.976,19.862,20.356,12.245
4750.071,19.978,20.371,12.424
4751.164,19.984,20.512,12.255
4752.257,20.656,20.442,12.187
4753.353,20.883,20.296,12.102
4754.446,19.646,20.289,12.160
4755.543,20.059,20.261,11.940
4756.637,19.695,20.241,11.593
4757.734,20.089,20.337,11.503
4758.828,19.821,20.344,11.816
4759.923,19.595,20.376,12.181
4761.020,20.895,20.472,12.123
4762.116,20.577,20.377,11.883
4763.214,19.348,20.232,11.437
4764.310,19.936,20.288,11.229
4765.408,20.563,20.270,11.164
4766.504,20.169,20.254,11.071
4767.601,19.843,20.316,11.084
4768.700,20.118,20.317,11.167
4769.797,20.048,20.245,11.724
4770.897,19.366,20.197,11.865
4771.995,19.627,20.161,11.725
4773.095,20.491,20.214,11.489
4774.193,20.215,20.319,11.551
4775.292,19.280,20.175,11.911
4776.393,18.737,20.056,12.070
4777.492,18.890,20.273,12.294
4778.593,19.937,20.279,12.290
4779.693,20.635,20.208,12.439
4780.795,19.997,20.229,12.374
4781.895,20.153,20.326,12.179
4782.995,20.397,20.351,11.901
4784.098,19.887,20.251,11.674
4785.198,19.862,20.262,11.667
4786.302,20.077,20.405,11.525
4787.403,19.487,20.237,11.483
4788.507,19.716,20.127,11.294
4789.608,20.581,20.147,11.283
4790.710,19.659,20.085,11.513
4791.815,19.102,20.098,11.708
4792.917,19.779,20.173,11.845
4794.022,20.006,20.173,11.871
4795.125,19.568,20.100,11.970
4796.231,20.629,20.024,12.157
4797.334,20.065,20.027,12.127
4798.438,20.096,20.099,12.005
4799.545,20.590,19.953,11.635
4800.649,19.407,19.992,11.281
4801.756,19.446,20.079,11.411
4802.860,19.870,20.051,11.662
4803.968,18.882,19.975,11.992
4805.073,19.127,19.985,11.864
4806.178,20.285,19.937,11.759
4807.287,19.866,19.931,11.589
4808.393,20.090,19.896,11.468
4809.501,19.922,19.908,11.370
4810.608,19.457,19.996,11.550
4811.717,19.804,19.858,11.744
4812.824,20.505,19.765,11.716
4813.931,20.117,19.806,11.814
4815.041,19.245,19.770,12.016
4816.149,19.137,19.662,12.138
4817.260,19.493,19.651,12.179
4818.368,19.944,19.698,12.313
4819.479,20.128,19.648,12.311
4820.588,19.593,19.791,12.369
4821.697,18.377,19.864,12.547
4822.809,18.755,19.757,12.425
4823.918,20.044,19.652,11.920
4825.030,20.047,19.659,11.646
4826.140,18.988,19.641,11.906
4827.253,18.878,19.660,12.123
4828.364,19.418,19.581,12.154
4829.477,19.461,19.450,12.171
4830.588,19.363,19.400,11.937
4831.699,19.469,19.349,11.814
4832.814,19.556,19.362,11.882
4833.925,19.430,19.427,12.045
4835.040,19.849,19.477,12.256
4836.152,20.606,19.473,12.019
4837.268,19.740,19.457,11.937
4838.380,19.128,19.526,11.999
4839.493,19.558,19.624,11.882
4840.609,19.744,19.565,11.792
4841.723,19.655,19.590,11.590
4842.840,18.836,19.666,11.624
4843.954,20.187,19.619,11.432
4845.071,20.459,19.622,11.561
4846.185,19.028,19.520,11.586
4847.300,18.961,19.585,11.950
4848.418,19.626,19.569,11.813
4849.533,20.184,19.499,11.412
4850.652,19.962,19.584,11.184
4851.767,19.626,19.613,11.285
4852.886,19.383,19.444,11.443
4854.003,19.286,19.331,11.493
4855.119,20.375,19.409,10.976
4856.239,19.136,19.539,10.493
4857.356,19.116,19.550,10.159
4858.476,19.632,19.545,10.066
4859.594,19.673,19.530,9.824
4860.714,19.760,19.501,9.225
4861.833,19.639,19.535,9.183
4862.951,19.726,19.623,9.100
4864.072,20.280,19.693,9.310
4865.191,19.954,19.713,9.604
4866.313,19.414,19.578,10.137
4867.433,19.997,19.639,10.400
4868.555,19.299,19.825,10.653
4869.675,20.600,19.891,10.898
4870.796,20.637,19.839,10.690
4871.919,20.157,20.022,10.119
4873.039,20.040,20.021,9.599
4874.163,19.855,19.786,9.966
4875.284,20.474,19.681,10.557
4876.409,20.262,19.673,10.776
4877.531,19.847,19.542,10.799
4878.653,20.393,19.500,10.770
4879.778,20.386,19.513,11.092
4880.900,18.474,19.466,11.452
4882.026,19.282,19.419,11.545
4883.149,20.136,19.402,11.364
4884.275,19.688,19.389,11.228
4885.398,18.951,19.390,11.093
4886.522,19.226,19.381,10.797
4887.649,20.162,19.496,10.546
4888.774,19.476,19.409,10.628
4889.901,19.519,19.255,10.689
4891.026,19.732,19.368,10.306
4892.154,19.857,19.416,10.169
4893.279,19.828,19.148,10.318
4894.405,19.144,19.217,11.019
4895.533,17.609,19.330,11.608
4896.660,19.236,19.254,11.761
4897.789,18.870,19.202,11.678
4898.916,18.426,19.401,11.472
4900.045,19.054,19.343,11.239
4901.172,18.970,19.238,11.168
4902.300,19.828,19.181,11.080
4903.430,19.125,19.197,11.140
4904.558,19.419,19.286,10.780
4905.689,19.411,19.365,11.171
4906.818,18.941,19.373,11.504
4907.950,19.363,19.334,11.569
4909.079,18.487,19.318,11.144
4910.208,19.457,19.354,10.578
4911.340,19.341,19.337,10.552
4912.470,18.907,19.133,10.371
4913.603,18.946,19.216,10.800
4914.733,18.869,19.282,10.921
4915.867,19.518,19.250,11.248
4916.997,18.800,19.243,11.282
4918.131,19.067,19.326,10.903
4919.263,19.048,19.335,10.202
4920.394,18.510,19.293,9.373
4921.529,19.145,19.203,9.115
4922.661,19.573,19.202,9.696
4923.796,18.806,19.213,10.365
4924.929,19.124,19.124,10.638
4926.065,19.439,19.154,10.657
4927.198,19.264,19.237,10.821
4928.331,19.505,19.343,10.869
4929.468,18.907,19.261,11.012
4930.602,19.167,19.137,11.047
4931.739,19.214,19.234,11.128
4932.873,19.072,19.333,11.008
4934.011,18.856,19.258,10.618
4935.146,18.379,19.387,10.333
4936.281,18.368,19.390,10.493
4937.420,19.010,19.239,10.839
4938.556,19.374,19.234,10.608
4939.694,19.371,19.329,10.202
4940.831,19.115,19.258,10.211
4941.970,18.777,19.171,10.536
4943.107,19.069,19.179,10.985
4944.244,19.038,19.223,11.051
4945.384,19.241,19.182,11.072
4946.522,19.646,19.096,10.650
4947.663,19.609,19.199,10.553
4948.801,18.754,19.181,10.766
4949.942,18.102,19.179,11.084
4951.081,18.884,19.268,10.998
4952.220,19.123,19.285,10.848
4953.362,19.525,19.149,11.119
4954.501,19.902,19.370,11.233
4955.644,19.176,19.333,11.205
4956.784,19.736,19.217,10.628
4957.927,18.836,19.234,9.636
4959.067,19.774,19.318,9.282
4960.208,19.497,19.350,10.012
4961.352,17.940,19.253,10.788
4962.493,19.030,19.276,11.010
4963.638,19.345,19.253,11.126
4964.779,19.130,19.212,11.057
4965.924,19.608,19.307,10.966
4967.067,19.571,19.348,10.791
4968.209,18.979,19.243,10.675
4969.355,19.105,19.221,10.734
4970.498,18.506,19.365,10.658
4971.644,18.961,19.519,10.868
4972.788,19.452,19.512,11.173
4973.935,19.208,19.453,11.324
4975.079,18.850,19.504,11.447
4976.224,19.326,19.492,11.515
4977.371,19.646,19.528,11.424
4978.516,20.043,19.666,11.294
4979.664,19.641,19.753,11.492
4980.810,19.416,19.659,11.540
4981.958,19.796,19.854,11.414
4983.104,20.075,19.906,11.025
4984.251,20.647,19.853,10.522
4985.400,20.377,19.922,10.585
4986.547,21.699,20.086,10.858
4987.697,22.172,20.013,11.265
4988.844,21.069,20.108,11.407
4989.995,21.153,20.036,11.353
4991.143,21.516,19.934,11.101
4992.291,20.234,19.816,11.034
4993.442,20.130,19.604,11.127
4994.591,19.803,19.517,10.976
4995.743,18.928,19.457,10.917
4996.892,19.559,19.484,10.936
4998.044,19.798,19.417,10.863
4999.194,19.046,19.288,10.574
5000.344,19.450,19.278,10.296
5001.497,19.457,19.321,10.124
5002.648,19.049,19.238,9.918
5003.801,20.274,19.192,9.982
5004.952,20.446,19.099,10.064
5006.106,19.836,19.037,9.821
5007.258,19.394,19.106,9.439
5008.413,19.177,19.068,9.537
5009.565,19.136,19.053,10.173
5010.717,19.326,19.125,10.282
5011.873,19.104,19.171,10.156
5013.026,18.381,19.062,9.677
5014.182,18.805,18.870,9.364
5015.335,19.431,18.886,9.256
5016.492,18.920,18.872,9.545
5017.646,18.113,18.975,9.556
5018.800,19.524,19.042,9.570
5019.958,18.360,18.974,9.547
5021.112,18.804,18.889,9.840
5022.270,19.328,18.936,9.944
5023.426,18.786,18.851,9.741
5024.584,19.045,18.855,9.885
5025.740,18.304,18.877,9.819
5026.896,19.460,18.914,9.761
5028.055,19.744,18.992,9.638
5029.212,19.193,18.924,9.593
5030.372,18.933,18.840,9.879
5031.529,19.204,18.815,10.161
5032.689,19.898,18.852,10.275
5033.847,18.381,18.891,10.531
5035.005,18.817,18.920,10.237
5036.166,19.413,19.014,9.692
5037.325,19.031,18.910,9.504
5038.486,19.682,18.900,9.410
5039.645,19.220,18.856,9.485
5040.807,19.575,18.735,9.019
5041.967,19.484,18.703,8.522
5043.127,19.136,18.805,8.755
5044.290,18.999,18.684,9.506
5045.450,18.875,18.846,10.033
5046.614,19.074,18.954,10.272
5047.775,19.012,18.818,10.099
5048.939,18.726,18.676,9.882
5050.100,18.491,18.705,9.502
5051.262,18.606,18.641,9.366
5052.427,18.991,18.804,9.437
5053.589,18.707,18.935,9.585
5054.754,18.020,18.847,9.788
5055.917,18.987,18.715,9.866
5057.083,19.517,18.813,10.062
5058.247,19.104,18.841,10.118
5059.410,19.732,18.861,10.083
5060.577,18.744,18.902,10.034
5061.741,19.256,18.873,10.169
5062.908,19.067,18.726,10.186
5064.073,18.809,18.632,10.229
5065.241,19.195,18.648,10.000
5066.406,18.960,18.792,9.673
5067.572,18.057,18.810,9.664
5068.740,18.397,18.696,9.810
5069.906,18.562,18.661,10.189
5071.075,18.569,18.748,10.418
5072.242,18.830,18.847,10.278
5073.412,18.893,18.722,9.767
5074.579,18.402,18.633,9.485
5075.746,18.719,18.662,9.594
5076.917,19.277,18.665,9.673
5078.084,18.974,18.671,9.931
5079.255,18.023,18.737,9.550
5080.424,17.834,18.738,9.254
5081.595,18.390,18.689,9.335
5082.764,19.084,18.666,10.179
5083.934,19.040,18.687,10.585
5085.106,18.753,18.652,10.823
5086.276,18.679,18.549,11.120
5087.449,18.466,18.750,11.344
5088.619,18.071,18.784,10.985
5089.793,17.950,18.647,10.453
5090.964,17.833,18.656,10.176
5092.135,18.402,18.533,10.024
5093.309,18.835,18.508,10.018
5094.481,17.781,18.428,10.036
5095.655,18.831,18.427,9.964
5096.828,18.774,18.486,9.913
5098.003,18.323,18.462,9.624
5099.176,18.634,18.430,9.313
5100.352,18.836,18.424,9.478
5101.525,17.827,18.534,9.825
5102.699,19.017,18.582,10.102
5103.875,18.146,18.550,9.988
5105.049,18.179,18.556,9.646
5106.227,18.981,18.543,9.571
5107.401,18.964,18.470,9.429
5108.579,18.310,18.523,9.196
5109.754,18.490,18.517,9.229
5110.930,18.638,18.468,9.282
5112.108,18.712,18.458,9.472
5113.284,18.422,18.268,9.711
5114.463,17.992,18.415,9.793
5115.640,18.008,18.424,9.861
5116.820,17.655,18.413,9.837
5117.997,18.356,18.447,9.828
5119.174,18.916,18.389,9.950
5120.355,18.645,18.276,9.834
5121.533,18.144,18.257,9.778
5122.714,18.310,18.293,9.432
5123.892,18.315,18.310,9.333
5125.074,18.287,18.339,9.061
5126.253,18.321,18.346,8.953
5127.432,18.147,18.128,9.094
5128.614,18.105,18.175,9.169
5129.794,18.750,18.217,9.224
5130.977,18.576,18.131,9.299
5132.157,18.189,18.108,9.447
5133.341,18.297,18.221,9.579
5134.522,18.296,18.076,9.555
5135.703,18.080,18.009,9.755
5136.887,18.240,18.053,9.688
5138.069,17.570,18.136,9.444
5139.254,18.531,18.143,9.124
5140.436,18.626,18.063,8.970
5141.621,18.009,18.083,9.071
5142.804,18.199,18.135,9.317
5143.987,19.003,18.218,9.147
5145.174,18.162,18.177,9.354
5146.357,18.380,18.057,9.362
5147.544,18.104,18.006,9.357
5148.728,18.241,17.970,9.312
5149.915,18.555,18.095,9.467
5151.100,17.262,18.003,9.672
5152.285,18.648,18.025,9.659
5153.473,18.907,18.118,9.725
5154.659,17.870,18.023,9.746
5155.847,17.720,18.075,9.785
5157.034,18.590,18.004,9.813
5158.223,18.352,17.878,9.765
5159.409,18.540,17.965,9.662
5160.596,17.867,18.114,9.821
5161.786,18.094,18.035,9.680
5162.974,18.538,17.960,9.413
5164.164,18.034,17.890,9.178
5165.352,17.480,17.844,8.939
5166.544,18.545,17.869,8.289
5167.732,17.814,17.904,7.544
5168.921,17.778,17.865,7.215
5170.113,18.252,17.825,7.551
5171.302,17.840,17.836,8.015
5172.495,17.072,17.877,7.387
5173.685,17.757,17.944,6.875
5174.878,17.710,17.965,7.309
5176.068,17.857,17.890,8.532
5177.259,18.325,17.864,9.176
5178.453,18.258,17.942,9.336
5179.644,17.623,18.015,9.268
5180.838,18.654,18.012,9.088
5182.030,18.008,17.990,8.754
5183.225,17.792,17.990,7.721
5184.418,18.022,17.885,6.620
5185.610,17.992,17.828,6.784
5186.806,18.046,17.855,8.075
5187.999,17.398,17.910,9.378
5189.196,18.222,17.954,9.596
5190.389,18.662,17.967,9.564
5191.586,17.913,17.934,9.346
5192.781,16.899,17.893,8.718
5193.978,17.018,17.889,8.553
5195.173,18.087,17.885,8.822
5196.368,17.286,17.849,9.092
5197.566,17.789,17.836,10.332
5198.762,18.415,17.950,12.140
5199.961,17.812,17.961,12.912
5201.157,17.835,17.777,12.274
