# Table 2 from https://ui.adsabs.harvard.edu/abs/2013arXiv1308.6483K/abstract
#Galaxy,Type,Distance,Ks,MKsT,MV,T,(V,−Ks)0,(B−V,)0,log,Mbulge,M•(low,M•,–,high,M•),σe,Flags,Source
NGC6251,E1,108.4,9,9.03,−26.18,−23.18,2.998,-999,11.88,0.09,6.14e8,4.09e8,8.18e8,290,14,2,1,0,Ferrarese+1999
NGC6861,E4,28.71,2,7.71,−24.60,−21.42,3.179,0.962,11.25,0.09,2.10e9,2.00e9,2.73e9,389,3,1,0,1,Rusli2012Rusli+2013
NGC7052,E3,70.4,9,8.57,−25.70,−22.86,2.841,0.86,11.61,0.10,3.96e8,2.40e8,6.72e8,266,13,2,1,0,vanderMarel+1998
NGC7619,E3,53.85,2,8.03,−25.65,−22.83,2.821,0.969,11.65,0.09,2.30e9,2.19e9,3.45e9,292,5,1,1,1,Rusli2012Rusli+2013
NGC7768,E4,116.0,9,9.34,−26.00,−23.19,2.811,0.906,11.75,0.09,1.34e9,0.93e9,1.85e9,257,26,1,1,1,McConnell+2012
IC1459,E4,28.92,2,6.81,−25.51,−22.42,3.081,0.966,11.60,0.09,2.48e9,2.29e9,2.96e9,331,5,1,0,0,Cappellari+2002
IC1481,E1.5,89.9,9,10.62,−24.17,-999,-999,-999,-999,-999,1.49e7,1.04e7,1.93e7,-999,-999,3,0,0,Hure+2011
A1836,BCGE,152.4,9,9.99,−25.95,−22.64,3.310,1.043,11.81,0.10,3.74e9,3.22e9,4.16e9,288,14,2,1,0,DallaBonta+2009
A3565,BCGE,49.2,9,7.50,−25.98,−23.03,2.948,0.956,11.78,0.09,1.30e9,1.11e9,1.50e9,322,16,2,1,0,DallaBonta+2009
CygnusA,E,242.7,9,10.28,−26.77,−23.23,3.54,-999,-999,-999,2.66e9,1.91e9,3.40e9,270,90,2,1,0,Tadhunter+2003
