# 1000 randomly selected quasars taken from the Shen SDSS DR7 Quasar Catalogue
# http://quasar.astro.illinois.edu/BH_mass/dr7.htm
# Columns are
# Right Ascension, Declination, redshift, log BH mass, log bolometric luminosity
1.516549999999999976e+01,1.567510000000000048e+01,2.575400000000000134e+00,8.113030000000000186e+00,4.634170000000000300e+01
1.575809999999999889e+02,6.568519999999999470e+01,3.574100000000000055e+00,8.928770000000000095e+00,4.686910000000000309e+01
1.662090000000000032e+02,3.028450000000000131e+01,1.518000000000000016e+00,9.033409999999999940e+00,4.623740000000000094e+01
3.429649999999999750e+02,1.295209999999999972e+01,3.422000000000000153e+00,9.240289999999999893e+00,4.676440000000000197e+01
1.551350000000000007e+00,-1.071959999999999980e+01,1.735300000000000065e+00,8.488530000000000797e+00,4.662129999999999797e+01
1.901690000000000111e+02,3.465820000000000078e+01,1.465700000000000003e+00,9.419209999999999638e+00,4.595470000000000255e+01
1.839929999999999950e+02,3.464789999999999992e+01,1.345199999999999951e+00,9.240859999999999630e+00,4.636809999999999832e+01
2.131109999999999900e+02,2.174380000000000024e+01,9.639999999999999680e-01,8.983090000000000686e+00,4.615529999999999688e+01
2.190889999999999986e+02,4.876879999999999882e+01,2.394600000000000062e+00,8.684409999999999741e+00,4.693269999999999698e+01
2.348580000000000041e+02,3.901639999999999731e+01,1.016499999999999959e+00,8.388389999999999347e+00,4.627069999999999794e+01
1.570589999999999975e+02,6.488020000000000209e+01,8.006999999999999673e-01,8.332219999999999516e+00,4.529919999999999902e+01
1.244339999999999975e+02,6.034989999999999633e+00,1.595599999999999907e+00,8.130760000000000431e+00,4.579990000000000094e+01
1.480269999999999868e+02,2.387920000000000087e+01,9.708999999999999853e-01,9.324270000000000280e+00,4.670139999999999958e+01
3.069879999999999853e+01,-8.801399999999999224e+00,1.597800000000000109e+00,9.133660000000000778e+00,4.633019999999999783e+01
2.392760000000000105e+02,4.550550000000000317e+00,1.136300000000000088e+00,8.846989999999999910e+00,4.581660000000000110e+01
1.308859999999999957e+02,1.272480000000000011e+01,2.170799999999999841e+00,8.852270000000000749e+00,4.655949999999999989e+01
2.166239999999999952e+02,1.301650000000000063e+01,1.431799999999999962e+00,9.268570000000000420e+00,4.634870000000000090e+01
1.186400000000000006e+02,4.020259999999999678e+01,5.173999999999999710e-01,7.368960000000000399e+00,4.487709999999999866e+01
2.434679999999999893e+02,5.043419999999999703e+01,1.554400000000000004e+00,8.915800000000000836e+00,4.644230000000000302e+01
1.629710000000000036e+02,8.746890000000000498e+00,1.471999999999999975e+00,9.149739999999999540e+00,4.601740000000000208e+01
1.646169999999999902e+02,5.095029999999999859e+01,1.673300000000000010e+00,9.046400000000000219e+00,4.650390000000000157e+01
2.012510000000000048e+02,1.854169999999999874e+01,1.812599999999999989e+00,9.163000000000000256e+00,4.663539999999999708e+01
1.757410000000000139e+02,3.131929999999999836e+01,1.060100000000000042e+00,9.195209999999999440e+00,4.666100000000000136e+01
1.569660000000000082e+02,1.965919999999999845e+01,3.059099999999999930e+00,8.235870000000000246e+00,4.700580000000000069e+01
1.451210000000000093e+02,2.161210000000000164e+01,8.084000000000000075e-01,9.191789999999999239e+00,4.593639999999999901e+01
1.587309999999999945e+02,6.429590000000000316e+01,1.157499999999999973e+00,8.566169999999999618e+00,4.607330000000000325e+01
1.709560000000000102e+01,-1.032760000000000034e+01,2.047299999999999898e+00,9.245290000000000674e+00,4.691949999999999932e+01
1.698810000000000002e+02,2.733160000000000167e+01,1.322100000000000053e+00,9.012290000000000134e+00,4.634150000000000347e+01
2.169310000000000116e+02,1.411289999999999978e+01,1.389699999999999935e+00,8.977359999999999118e+00,4.621809999999999974e+01
1.773180000000000121e+02,5.342120000000000424e+00,1.949600000000000000e+00,8.898199999999999221e+00,4.671809999999999974e+01
5.587700000000000244e+01,-7.617539999999999978e+00,7.422999999999999599e-01,8.735360000000000014e+00,4.554769999999999897e+01
1.365320000000000107e+02,1.310689999999999955e+01,1.432900000000000063e+00,9.581310000000000215e+00,4.650079999999999814e+01
1.509970000000000141e+02,5.797990000000000066e+01,1.424400000000000110e+00,8.720959999999999823e+00,4.641279999999999717e+01
2.555320000000000107e+02,2.059750000000000014e+01,1.526799999999999935e+00,9.262560000000000571e+00,4.648329999999999984e+01
1.523640000000000043e+02,2.753770000000000095e+01,1.512299999999999978e+00,9.780789999999999651e+00,4.719319999999999737e+01
2.153569999999999993e+02,3.972469999999999857e+01,6.213999999999999524e-01,8.937129999999999797e+00,4.588060000000000116e+01
2.263160000000000025e+02,5.542660000000000053e+01,1.335199999999999942e+00,8.705769999999999342e+00,4.601930000000000121e+01
2.543209999999999980e+02,3.191029999999999944e+01,1.346500000000000030e+00,9.299360000000000070e+00,4.657059999999999889e+01
3.599189999999999827e+02,-9.161929999999999907e+00,5.702000000000000401e-01,8.220050000000000523e+00,4.560920000000000130e+01
1.399420000000000073e+02,1.137470000000000070e+01,2.721600000000000019e+00,8.712790000000000035e+00,4.696809999999999974e+01
4.521350000000000335e+01,-7.949639999999999596e+00,5.777999999999999803e-01,9.379789999999999850e+00,4.510829999999999984e+01
1.735820000000000007e+01,-6.275199999999999667e-01,1.357399999999999940e+00,8.788309999999999178e+00,4.623169999999999646e+01
2.146920000000000073e+02,2.468630000000000102e+00,1.393199999999999994e+00,8.789889999999999759e+00,4.633870000000000289e+01
1.545560000000000116e+02,6.039070000000000249e+01,1.415799999999999947e+00,8.608750000000000568e+00,4.602250000000000085e+01
1.812730000000000175e+01,2.448710000000000053e-01,3.258799999999999919e+00,9.527609999999999246e+00,4.700919999999999987e+01
1.645829999999999984e+02,6.029220000000000113e+01,1.946399999999999908e+00,8.807489999999999597e+00,4.610170000000000101e+01
2.064910000000000139e+02,1.896519999999999939e+01,1.472299999999999942e+00,9.020350000000000534e+00,4.644480000000000075e+01
1.414569999999999936e+02,2.033619999999999983e+00,5.923000000000000487e-01,8.448579999999999757e+00,4.574090000000000344e+01
1.468590000000000089e+02,1.667340000000000089e+01,1.537900000000000045e+00,9.264409999999999812e+00,4.671240000000000236e+01
2.126560000000000059e+02,-1.441340000000000066e+00,1.973000000000000087e+00,9.737069999999999226e+00,4.703849999999999909e+01
1.988590000000000089e+02,1.076640000000000086e+01,8.727000000000000313e-01,8.065400000000000347e+00,4.613709999999999667e+01
2.192170000000000130e+01,1.511550000000000082e+01,2.174500000000000099e+00,9.872759999999999536e+00,4.705530000000000257e+01
2.378350000000000080e+02,5.821069999999999744e+00,9.300000000000000488e-01,8.758940000000000836e+00,4.612140000000000128e+01
2.518959999999999866e+02,4.023539999999999850e+01,6.871000000000000441e-01,8.864359999999999573e+00,4.598890000000000100e+01
1.035520000000000067e+02,2.850199999999999889e+01,1.629899999999999904e+00,9.171010000000000773e+00,4.658870000000000289e+01
2.239300000000000068e+01,1.219279999999999919e+00,2.237000000000000099e+00,8.378510000000000346e+00,4.597249999999999659e+01
1.757870000000000061e+02,3.487290000000000134e+01,3.145999999999999908e+00,9.918380000000000862e+00,4.794210000000000349e+01
4.816149999999999665e+01,-8.188800000000000523e+00,1.845699999999999896e+00,9.116649999999999920e+00,4.626899999999999835e+01
2.296049999999999898e+02,5.658100000000000307e+01,7.429999999999999938e-01,8.756740000000000634e+00,4.581309999999999860e+01
1.957680000000000007e+02,4.515820000000000078e+01,3.045100000000000140e+00,8.908870000000000289e+00,4.675869999999999749e+01
1.256500000000000057e+02,4.556869999999999976e+01,4.672000000000000042e-01,7.946900000000000297e+00,4.495920000000000272e+01
1.454639999999999986e+02,3.189620000000000033e+01,2.531600000000000072e+00,9.509650000000000603e+00,4.697710000000000008e+01
2.578799999999999955e+02,3.528979999999999961e+01,1.059500000000000108e+00,9.185470000000000468e+00,4.628220000000000312e+01
1.970660000000000025e+02,-2.776759999999999784e-01,2.331100000000000172e+00,8.768050000000000566e+00,4.630890000000000128e+01
1.533460000000000036e+02,2.088929999999999865e+01,3.358999999999999986e+00,8.527449999999999974e+00,4.651319999999999766e+01
1.829739999999999895e+02,3.461509999999999820e+01,2.449899999999999967e+00,9.416779999999999262e+00,4.702929999999999922e+01
1.446649999999999920e+02,2.491910000000000025e+01,3.546000000000000263e-01,7.844949999999999868e+00,4.543249999999999744e+01
1.092830000000000013e+01,8.115940000000000376e-01,9.130000000000000338e-01,8.983879999999999200e+00,4.557699999999999818e+01
1.930809999999999889e+02,1.834339999999999904e+01,2.013000000000000067e-01,8.747299999999999187e+00,4.510090000000000288e+01
2.605539999999999736e+02,6.451619999999999777e+01,8.018999999999999462e-01,8.729160000000000252e+00,4.585240000000000293e+01
2.914159999999999968e+02,6.263289999999999935e+01,6.975999999999999979e-01,9.097329999999999472e+00,4.608930000000000149e+01
2.047899999999999920e+02,2.809069999999999823e+01,1.118100000000000094e+00,8.734680000000000888e+00,4.629419999999999646e+01
2.468429999999999893e+02,3.517739999999999867e+01,1.676500000000000101e+00,9.500270000000000437e+00,4.654529999999999745e+01
2.256920000000000073e+02,4.329840000000000089e+01,1.128900000000000015e+00,8.671210000000000306e+00,4.632009999999999650e+01
1.555860000000000127e+02,3.924080000000000013e+01,1.778499999999999970e+00,8.669109999999999872e+00,4.653139999999999787e+01
2.339799999999999898e+02,2.457460000000000022e+01,1.077900000000000080e+00,7.959069999999999645e+00,4.632319999999999993e+01
2.047259999999999991e+02,2.679619999999999891e+00,2.847700000000000120e+00,9.051479999999999748e+00,4.714309999999999690e+01
1.300769999999999982e+02,3.701619999999999777e+01,5.510000000000000453e-01,7.883560000000000123e+00,4.519200000000000017e+01
1.904550000000000125e+02,3.309620000000000317e+01,1.134300000000000086e+00,8.589660000000000295e+00,4.575419999999999732e+01
2.362429999999999950e+02,5.349359999999999893e+00,8.054999999999999938e-01,8.399490000000000123e+00,4.586889999999999645e+01
2.038170000000000073e+02,2.802349999999999852e+01,3.160400000000000098e+00,9.200060000000000571e+00,4.665709999999999980e+01
1.791899999999999977e+02,2.570380000000000109e+01,3.559600000000000097e+00,9.324930000000000163e+00,4.689629999999999654e+01
2.135879999999999939e+02,1.478850000000000087e+01,2.083400000000000141e+00,9.333949999999999747e+00,4.716570000000000107e+01
2.152330000000000041e+02,1.266280000000000072e+01,1.178500000000000103e+00,8.806469999999999132e+00,4.623610000000000042e+01
1.383569999999999993e+02,4.853640000000000043e+01,4.062000000000000055e-01,8.515760000000000218e+00,4.530230000000000246e+01
1.306910000000000025e+02,3.554690000000000083e+01,4.946999999999999731e-01,8.370699999999999363e+00,4.559000000000000341e+01
1.356680000000000064e+02,3.197610000000000063e+00,1.897499999999999964e+00,9.169340000000000046e+00,4.651339999999999719e+01
1.830269999999999868e+02,1.944940000000000069e+01,1.341900000000000093e+00,9.166209999999999525e+00,4.631869999999999976e+01
3.549150000000000205e+02,-1.059430000000000049e+01,2.757400000000000073e+00,9.837479999999999336e+00,4.721929999999999694e+01
2.376550000000000011e+02,-2.289349999999999996e-01,1.310000000000000053e+00,8.794529999999999959e+00,4.605700000000000216e+01
2.310699999999999932e+02,-6.236900000000000083e-02,8.979000000000000314e-01,8.962270000000000181e+00,4.604290000000000305e+01
3.505280000000000200e+02,4.461289999999999978e-01,2.133999999999999897e+00,8.343989999999999796e+00,4.627770000000000294e+01
1.417630000000000052e+02,5.404110000000000014e+01,1.788000000000000034e+00,8.712289999999999424e+00,4.623179999999999978e+01
1.886160000000000139e+02,3.605239999999999867e+01,1.839599999999999902e+00,8.895350000000000534e+00,4.643840000000000146e+01
3.375749999999999886e+02,-9.273679999999999701e-01,1.879099999999999993e+00,8.122090000000000032e+00,4.633509999999999707e+01
4.986610000000000298e+01,1.118740000000000068e+00,1.899899999999999922e+00,8.689629999999999299e+00,4.621739999999999782e+01
1.914859999999999900e+02,7.017999999999999794e+00,1.709699999999999998e+00,9.038930000000000575e+00,4.673839999999999861e+01
5.550930000000000319e+01,5.629459999999999464e-01,1.274399999999999977e+00,8.715980000000000061e+00,4.576030000000000086e+01
2.567989999999999782e+02,2.231919999999999860e+01,1.838300000000000045e+00,9.908139999999999503e+00,4.695600000000000307e+01
2.249149999999999920e+02,2.704429999999999890e+00,1.513300000000000090e+00,8.938280000000000669e+00,4.587530000000000285e+01
1.715429999999999922e+01,-7.999140000000000139e-01,1.263400000000000079e+00,9.144750000000000156e+00,4.592840000000000344e+01
1.609370000000000118e+02,4.975460000000000349e+01,2.465399999999999814e+00,9.035869999999999180e+00,4.683339999999999748e+01
1.407789999999999964e+01,-1.077860000000000085e+01,1.849599999999999911e+00,9.012019999999999698e+00,4.655030000000000001e+01
1.482350000000000136e+02,3.349419999999999931e+01,3.407099999999999795e+00,9.652599999999999625e+00,4.734470000000000312e+01
2.374259999999999877e+02,2.282529999999999859e+01,2.184299999999999908e+00,9.141049999999999898e+00,4.683030000000000115e+01
1.509310000000000116e+02,8.033310000000000173e+00,1.040000000000000036e+00,8.777860000000000440e+00,4.598590000000000089e+01
1.562940000000000111e+02,2.604830000000000112e+01,2.129799999999999915e+00,9.583489999999999398e+00,4.662780000000000058e+01
2.049950000000000045e+02,3.262980000000000302e+01,1.812400000000000011e+00,9.628399999999999181e+00,4.678960000000000008e+01
1.522620000000000005e+02,5.068410000000000082e+01,1.873499999999999943e+00,9.479210000000000136e+00,4.657730000000000103e+01
1.659749999999999943e+02,6.515330000000000155e+01,1.125799999999999912e+00,8.829439999999999955e+00,4.616129999999999711e+01
2.320010000000000048e+02,5.387330000000000041e+01,1.389899999999999913e+00,9.371729999999999450e+00,4.712890000000000157e+01
1.955960000000000036e+02,1.410249999999999915e+01,2.856000000000000205e-01,7.892759999999999998e+00,4.587039999999999651e+01
1.945769999999999982e+02,-7.753240000000000132e-01,1.830600000000000005e+00,8.716089999999999449e+00,4.650350000000000250e+01
1.949159999999999826e+01,3.511449999999999849e-01,6.121999999999999664e-01,8.458239999999999981e+00,4.526979999999999649e+01
5.233290000000000219e+01,-9.543150000000000244e-01,1.311299999999999910e+00,8.529709999999999681e+00,4.601160000000000139e+01
2.126779999999999973e+02,2.769869999999999877e+01,4.590000000000000191e-01,7.998330000000000162e+00,4.591819999999999879e+01
2.300310000000000059e+02,5.892079999999999984e+00,1.576600000000000001e+00,9.153669999999999973e+00,4.642240000000000322e+01
2.277520000000000095e+02,1.929059999999999997e+00,1.348300000000000054e+00,9.027049999999999130e+00,4.642009999999999792e+01
2.021910000000000025e+02,5.942399999999999949e+01,3.860999999999999988e-01,8.275009999999999977e+00,4.529359999999999786e+01
1.506970000000000027e+02,8.698749999999999538e-01,2.580999999999999961e+00,9.514540000000000219e+00,4.689479999999999649e+01
3.299850000000000136e+02,8.946680000000000188e-01,7.037999999999999812e-01,8.448209999999999553e+00,4.591329999999999956e+01
1.843870000000000005e+02,3.984449999999999648e+01,6.332999999999999741e-01,8.016009999999999636e+00,4.567170000000000130e+01
3.564499999999999886e+02,6.849720000000000253e-01,1.489700000000000024e+00,9.615389999999999660e+00,4.590639999999999787e+01
1.930840000000000032e+02,7.103760000000000296e+00,9.262000000000000233e-01,8.825979999999999492e+00,4.615290000000000248e+01
1.466440000000000055e+02,2.233830000000000204e+00,1.012599999999999945e+00,8.872529999999999362e+00,4.600480000000000302e+01
1.696760000000000090e+01,-1.151399999999999979e+00,3.276899999999999924e+00,9.621349999999999625e+00,4.693379999999999797e+01
1.332860000000000014e+02,1.388189999999999991e+01,1.111399999999999944e+00,9.873400000000000176e+00,4.681850000000000023e+01
3.829010000000000247e+01,-5.167329999999999979e-01,3.526699999999999946e+00,9.281090000000000728e+00,4.693829999999999814e+01
4.235280000000000200e+01,4.267489999999999895e-01,1.023600000000000065e+00,8.255089999999999151e+00,4.579209999999999781e+01
1.371479999999999961e+02,6.826889999999999681e+00,1.418099999999999916e+00,8.639329999999999288e+00,4.596949999999999648e+01
1.563940000000000055e+02,3.511530000000000040e+00,6.343999999999999639e-01,8.316929999999999268e+00,4.574880000000000280e+01
1.355900000000000034e+02,2.458340000000000103e+01,1.612900000000000000e+00,9.325509999999999522e+00,4.654769999999999897e+01
2.005749999999999886e+02,2.274159999999999826e+01,1.566799999999999971e+00,9.018869999999999720e+00,4.645539999999999736e+01
3.137930000000000064e+02,-5.022619999999999862e-01,1.277400000000000091e+00,8.982950000000000657e+00,4.583760000000000190e+01
2.511819999999999879e+02,1.319510000000000005e+01,1.295299999999999896e+00,8.666650000000000631e+00,4.600079999999999814e+01
3.254119999999999777e+02,8.456120000000000303e-01,1.346100000000000074e+00,8.126500000000000057e+00,4.579930000000000234e+01
1.776939999999999884e+02,6.574139999999999873e+01,1.828600000000000003e+00,9.612830000000000652e+00,4.663850000000000051e+01
4.316320000000000157e+00,6.522679999999999589e-01,8.146999999999999797e-01,8.911319999999999908e+00,4.548899999999999721e+01
2.041970000000000027e+02,3.636169999999999902e+01,1.472499999999999920e+00,9.291740000000000776e+00,4.673680000000000234e+01
1.331539999999999964e+02,2.737830000000000208e+00,1.026000000000000023e+00,9.066509999999999181e+00,4.577790000000000248e+01
1.599629999999999939e+02,6.315290000000000248e+01,9.504000000000000226e-01,8.775750000000000384e+00,4.573980000000000246e+01
1.867079999999999984e+02,8.273559999999999803e+00,2.082300000000000040e+00,9.788500000000000867e+00,4.694969999999999999e+01
1.250630000000000024e+02,5.336019999999999897e+01,1.201899999999999968e+00,9.316159999999999997e+00,4.674889999999999901e+01
2.096049999999999898e+02,2.158739999999999881e+01,6.418000000000000371e-01,8.692930000000000490e+00,4.565319999999999823e+01
1.949840000000000089e+02,3.409180000000000099e+00,7.448000000000000176e-01,9.440400000000000347e+00,4.599260000000000304e+01
2.147669999999999959e+02,4.984250000000000114e+01,2.998200000000000198e+00,9.597379999999999356e+00,4.725600000000000023e+01
2.171610000000000014e+02,6.089679999999999893e+01,2.109300000000000175e+00,9.634740000000000748e+00,4.722729999999999961e+01
2.353180000000000121e+02,4.133149999999999835e+01,2.951799999999999979e+00,9.377439999999999998e+00,4.685600000000000165e+01
1.189170000000000016e+02,4.118860000000000099e+01,9.669999999999999707e-01,9.476549999999999585e+00,4.655440000000000111e+01
2.127740000000000009e+02,1.711769999999999925e+01,1.115099999999999980e+00,9.476200000000000401e+00,4.683370000000000033e+01
1.209680000000000035e+02,1.857669999999999888e+01,1.759900000000000020e+00,8.874489999999999768e+00,4.656470000000000198e+01
1.166719999999999970e+02,3.634940000000000282e+01,1.113299999999999956e+00,8.916280000000000427e+00,4.631600000000000250e+01
2.388209999999999980e+02,4.735329999999999728e+01,3.475000000000000089e+00,9.367179999999999396e+00,4.675789999999999935e+01
1.980010000000000048e+02,5.521820000000000306e+01,9.577999999999999847e-01,8.793979999999999464e+00,4.627139999999999986e+01
2.415560000000000116e+02,6.514509999999999579e+00,1.672700000000000076e+00,9.702590000000000714e+00,4.635450000000000159e+01
3.130049999999999955e+02,-1.024100000000000010e+00,7.259999999999999787e-01,8.788759999999999906e+00,4.571600000000000108e+01
2.391630000000000109e+02,3.346410000000000218e-01,1.830000000000000071e+00,9.194810000000000372e+00,4.677969999999999828e+01
1.362290000000000134e+02,3.729820000000000135e+01,8.129999999999999449e-01,8.711930000000000618e+00,4.552510000000000190e+01
1.624499999999999886e+02,1.671030000000000015e+01,2.290399999999999991e+00,9.426830000000000709e+00,4.707639999999999958e+01
2.087110000000000127e+02,2.961619999999999919e+01,1.443000000000000060e+00,9.000270000000000437e+00,4.662100000000000222e+01
3.063310000000000173e+02,7.818640000000000612e+01,7.385000000000000453e-01,9.028340000000000032e+00,4.553090000000000259e+01
